Provider,Provider ID,Provider Name,Provider Parent Provider,Provider Description,Provider Eligibility,Provider Hours,Provider Intake / Application Process,Provider Languages,Provider Program Fees,Provider Shelter Requirements,Provider Volunteer Opportunities,Provider Website Address,Address Type,Address Line1,Address Line2,Address City,Address Province,Address Postal Code,Address County,Address Is Primary Address,Contact Name,Contact Title,Contact Email,Contact Telephone Number,Contact Is Primary Contact,Telephone Number,Telephone Is Primary Telephone,Service Code,Service Code Description,Service Code Type Service,Service Code Out Of Resource,"Geography Served by State, State Name"
EPILEPSY FOUNDATION - NEUROPSYCHOLOGICAL SERVICES(483),483,EPILEPSY FOUNDATION - NEUROPSYCHOLOGICAL SERVICES,EPILEPSY FOUNDATION OF FLORIDA(480),"Provides evaluations of client's cognitive and emotional functioning, including memory and related processes, consultation with school personnel and families concerning learning and behavior patterns associated with epilepsy, and consultation with staff concerning psychological aspects of their client's experiences and related mental health concerns.

###COL###
###MON###",Individuals with Epilepsy and their families.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",Call for information.,,"Yes, call for information.",www.epilepsyfla.org,Physical,1200 NW 78th Avenue,Suite 400,Miami,FL ,33126,Miami-dade,Yes,"Judy Siskind, Ph.D",Staff Psychologist,Jsiskind@efof.org,305-670-4949,Yes,305-670-0904,No,LV-5700,Neuropsychiatry/Neuropsychology,Primary Services,No,Florida
EPILEPSY FOUNDATION - NEUROPSYCHOLOGICAL SERVICES(483),483,EPILEPSY FOUNDATION - NEUROPSYCHOLOGICAL SERVICES,EPILEPSY FOUNDATION OF FLORIDA(480),"Provides evaluations of client's cognitive and emotional functioning, including memory and related processes, consultation with school personnel and families concerning learning and behavior patterns associated with epilepsy, and consultation with staff concerning psychological aspects of their client's experiences and related mental health concerns.

###COL###
###MON###",Individuals with Epilepsy and their families.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",Call for information.,,"Yes, call for information.",www.epilepsyfla.org,Physical,1200 NW 78th Avenue,Suite 400,Miami,FL ,33126,Miami-dade,Yes,Karen Basha  Egozi,Chief Executive Officer,Kegozi@efof.org,305-670-4949 x211,No,305-670-4949,No,LV-5700,Neuropsychiatry/Neuropsychology,Primary Services,No,Florida
EPILEPSY FOUNDATION - NEUROPSYCHOLOGICAL SERVICES(483),483,EPILEPSY FOUNDATION - NEUROPSYCHOLOGICAL SERVICES,EPILEPSY FOUNDATION OF FLORIDA(480),"Provides evaluations of client's cognitive and emotional functioning, including memory and related processes, consultation with school personnel and families concerning learning and behavior patterns associated with epilepsy, and consultation with staff concerning psychological aspects of their client's experiences and related mental health concerns.

###COL###
###MON###",Individuals with Epilepsy and their families.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",Call for information.,,"Yes, call for information.",www.epilepsyfla.org,Physical,1200 NW 78th Avenue,Suite 400,Miami,FL ,33126,Miami-dade,Yes,Ivonne Anton,VP Director of Operations,ianton@efof.org,305-670-4949 x209,No,305-670-4949,No,LV-5700,Neuropsychiatry/Neuropsychology,Primary Services,No,Florida
EPILEPSY FOUNDATION - NEUROPSYCHOLOGICAL SERVICES(483),483,EPILEPSY FOUNDATION - NEUROPSYCHOLOGICAL SERVICES,EPILEPSY FOUNDATION OF FLORIDA(480),"Provides evaluations of client's cognitive and emotional functioning, including memory and related processes, consultation with school personnel and families concerning learning and behavior patterns associated with epilepsy, and consultation with staff concerning psychological aspects of their client's experiences and related mental health concerns.

###COL###
###MON###",Individuals with Epilepsy and their families.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",Call for information.,,"Yes, call for information.",www.epilepsyfla.org,Physical,1200 NW 78th Avenue,Suite 400,Miami,FL ,33126,Miami-dade,Yes,Roxana Galera,Social Service Dept Manager,rgalera@efof.org,305-670-4949 x204,No,305-670-4949,No,LV-5700,Neuropsychiatry/Neuropsychology,Primary Services,No,Florida
EPILEPSY FOUNDATION - NEUROPSYCHOLOGICAL SERVICES(483),483,EPILEPSY FOUNDATION - NEUROPSYCHOLOGICAL SERVICES,EPILEPSY FOUNDATION OF FLORIDA(480),"Provides evaluations of client's cognitive and emotional functioning, including memory and related processes, consultation with school personnel and families concerning learning and behavior patterns associated with epilepsy, and consultation with staff concerning psychological aspects of their client's experiences and related mental health concerns.

###COL###
###MON###",Individuals with Epilepsy and their families.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",Call for information.,,"Yes, call for information.",www.epilepsyfla.org,Physical,1200 NW 78th Avenue,Suite 400,Miami,FL ,33126,Miami-dade,Yes,"Judy Siskind, Ph.D",Staff Psychologist,Jsiskind@efof.org,305-670-4949,Yes,305-670-4949,No,LV-5700,Neuropsychiatry/Neuropsychology,Primary Services,No,Florida
EPILEPSY FOUNDATION - NEUROPSYCHOLOGICAL SERVICES(483),483,EPILEPSY FOUNDATION - NEUROPSYCHOLOGICAL SERVICES,EPILEPSY FOUNDATION OF FLORIDA(480),"Provides evaluations of client's cognitive and emotional functioning, including memory and related processes, consultation with school personnel and families concerning learning and behavior patterns associated with epilepsy, and consultation with staff concerning psychological aspects of their client's experiences and related mental health concerns.

###COL###
###MON###",Individuals with Epilepsy and their families.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",Call for information.,,"Yes, call for information.",www.epilepsyfla.org,Physical,1200 NW 78th Avenue,Suite 400,Miami,FL ,33126,Miami-dade,Yes,Karen Basha  Egozi,Chief Executive Officer,Kegozi@efof.org,305-670-4949 x211,No,877-553-7453,Yes,LV-5700,Neuropsychiatry/Neuropsychology,Primary Services,No,Florida
EPILEPSY FOUNDATION - NEUROPSYCHOLOGICAL SERVICES(483),483,EPILEPSY FOUNDATION - NEUROPSYCHOLOGICAL SERVICES,EPILEPSY FOUNDATION OF FLORIDA(480),"Provides evaluations of client's cognitive and emotional functioning, including memory and related processes, consultation with school personnel and families concerning learning and behavior patterns associated with epilepsy, and consultation with staff concerning psychological aspects of their client's experiences and related mental health concerns.

###COL###
###MON###",Individuals with Epilepsy and their families.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",Call for information.,,"Yes, call for information.",www.epilepsyfla.org,Physical,1200 NW 78th Avenue,Suite 400,Miami,FL ,33126,Miami-dade,Yes,Ivonne Anton,VP Director of Operations,ianton@efof.org,305-670-4949 x209,No,877-553-7453,Yes,LV-5700,Neuropsychiatry/Neuropsychology,Primary Services,No,Florida
EPILEPSY FOUNDATION - NEUROPSYCHOLOGICAL SERVICES(483),483,EPILEPSY FOUNDATION - NEUROPSYCHOLOGICAL SERVICES,EPILEPSY FOUNDATION OF FLORIDA(480),"Provides evaluations of client's cognitive and emotional functioning, including memory and related processes, consultation with school personnel and families concerning learning and behavior patterns associated with epilepsy, and consultation with staff concerning psychological aspects of their client's experiences and related mental health concerns.

###COL###
###MON###",Individuals with Epilepsy and their families.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",Call for information.,,"Yes, call for information.",www.epilepsyfla.org,Physical,1200 NW 78th Avenue,Suite 400,Miami,FL ,33126,Miami-dade,Yes,Roxana Galera,Social Service Dept Manager,rgalera@efof.org,305-670-4949 x204,No,877-553-7453,Yes,LV-5700,Neuropsychiatry/Neuropsychology,Primary Services,No,Florida
EPILEPSY FOUNDATION - NEUROPSYCHOLOGICAL SERVICES(483),483,EPILEPSY FOUNDATION - NEUROPSYCHOLOGICAL SERVICES,EPILEPSY FOUNDATION OF FLORIDA(480),"Provides evaluations of client's cognitive and emotional functioning, including memory and related processes, consultation with school personnel and families concerning learning and behavior patterns associated with epilepsy, and consultation with staff concerning psychological aspects of their client's experiences and related mental health concerns.

###COL###
###MON###",Individuals with Epilepsy and their families.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",Call for information.,,"Yes, call for information.",www.epilepsyfla.org,Physical,1200 NW 78th Avenue,Suite 400,Miami,FL ,33126,Miami-dade,Yes,"Judy Siskind, Ph.D",Staff Psychologist,Jsiskind@efof.org,305-670-4949,Yes,877-553-7453,Yes,LV-5700,Neuropsychiatry/Neuropsychology,Primary Services,No,Florida
KIX AFTER SCHOOL PROGRAM - JORDAN COMMONS(447),447,KIX AFTER SCHOOL PROGRAM - JORDAN COMMONS,GREATER MIAMI YOUTH FOR CHRIST(446),"Greater Miami Youth for Christ provides an after school program Monday through Friday from 2:30pm to 6pm for students in kindergarten through fifth grade.  The program offers homework help, literature activities, physical education, social skills, character building, Bible club, and special family nights.  GMYC helps kids improve their educational skills in reading, writing, math, social skills, and physical fitness.",Children in kindergarten through 5th grade. Call for information.,"2:30pm-6pm, Mon-Fri

Teacher planning days: TBA",Fill out registration form.,"English, Spanish","There is a one-time registration fee of $20 per child and $30 per family with two or more children.  There is a tshirt fee of $5 per child and a field trip fee of $5 per child or $10 per family for families with two or more children.  

Call for details or updates regarding fees/financial assistance. Payment plans available for struggling families.",,"Yes, call for information.",www.miamiyfc.com,Physical,13075 SW 244th Street,KIX Jordan Commons,Homestead,FL ,33032,Miami-dade,Yes,Stacy Morales,KIX Director,stacy@miamiyfc.com,786-243-1600,No,786-243-1600,No,PH-1250.1800,Extended Day Care,Primary Services,No,Florida
KIX AFTER SCHOOL PROGRAM - JORDAN COMMONS(447),447,KIX AFTER SCHOOL PROGRAM - JORDAN COMMONS,GREATER MIAMI YOUTH FOR CHRIST(446),"Greater Miami Youth for Christ provides an after school program Monday through Friday from 2:30pm to 6pm for students in kindergarten through fifth grade.  The program offers homework help, literature activities, physical education, social skills, character building, Bible club, and special family nights.  GMYC helps kids improve their educational skills in reading, writing, math, social skills, and physical fitness.",Children in kindergarten through 5th grade. Call for information.,"2:30pm-6pm, Mon-Fri

Teacher planning days: TBA",Fill out registration form.,"English, Spanish","There is a one-time registration fee of $20 per child and $30 per family with two or more children.  There is a tshirt fee of $5 per child and a field trip fee of $5 per child or $10 per family for families with two or more children.  

Call for details or updates regarding fees/financial assistance. Payment plans available for struggling families.",,"Yes, call for information.",www.miamiyfc.com,Physical,13075 SW 244th Street,KIX Jordan Commons,Homestead,FL ,33032,Miami-dade,Yes,Mary Ann Draghi,KIX Program Site Director,maryann@miamiyfc.com,786-897-7562,Yes,786-243-1600,No,PH-1250.1800,Extended Day Care,Primary Services,No,Florida
KIX AFTER SCHOOL PROGRAM - JORDAN COMMONS(447),447,KIX AFTER SCHOOL PROGRAM - JORDAN COMMONS,GREATER MIAMI YOUTH FOR CHRIST(446),"Greater Miami Youth for Christ provides an after school program Monday through Friday from 2:30pm to 6pm for students in kindergarten through fifth grade.  The program offers homework help, literature activities, physical education, social skills, character building, Bible club, and special family nights.  GMYC helps kids improve their educational skills in reading, writing, math, social skills, and physical fitness.",Children in kindergarten through 5th grade. Call for information.,"2:30pm-6pm, Mon-Fri

Teacher planning days: TBA",Fill out registration form.,"English, Spanish","There is a one-time registration fee of $20 per child and $30 per family with two or more children.  There is a tshirt fee of $5 per child and a field trip fee of $5 per child or $10 per family for families with two or more children.  

Call for details or updates regarding fees/financial assistance. Payment plans available for struggling families.",,"Yes, call for information.",www.miamiyfc.com,Physical,13075 SW 244th Street,KIX Jordan Commons,Homestead,FL ,33032,Miami-dade,Yes,Stacy Morales,KIX Director,stacy@miamiyfc.com,786-243-1600,No,305-271-2456,No,PH-1250.1800,Extended Day Care,Primary Services,No,Florida
KIX AFTER SCHOOL PROGRAM - JORDAN COMMONS(447),447,KIX AFTER SCHOOL PROGRAM - JORDAN COMMONS,GREATER MIAMI YOUTH FOR CHRIST(446),"Greater Miami Youth for Christ provides an after school program Monday through Friday from 2:30pm to 6pm for students in kindergarten through fifth grade.  The program offers homework help, literature activities, physical education, social skills, character building, Bible club, and special family nights.  GMYC helps kids improve their educational skills in reading, writing, math, social skills, and physical fitness.",Children in kindergarten through 5th grade. Call for information.,"2:30pm-6pm, Mon-Fri

Teacher planning days: TBA",Fill out registration form.,"English, Spanish","There is a one-time registration fee of $20 per child and $30 per family with two or more children.  There is a tshirt fee of $5 per child and a field trip fee of $5 per child or $10 per family for families with two or more children.  

Call for details or updates regarding fees/financial assistance. Payment plans available for struggling families.",,"Yes, call for information.",www.miamiyfc.com,Physical,13075 SW 244th Street,KIX Jordan Commons,Homestead,FL ,33032,Miami-dade,Yes,Mary Ann Draghi,KIX Program Site Director,maryann@miamiyfc.com,786-897-7562,Yes,305-271-2456,No,PH-1250.1800,Extended Day Care,Primary Services,No,Florida
